"id","gender","race","ses","sch","prog","locus","concept","mot","career","read","write","math","sci","ss"
55,"female","hispanic","low","public","general",-1.77999997138977,0.560000002384186,1,"prof1",28.2999992370605,46.2999992370605,42.7999992370605,44.4000015258789,50.5999984741211
114,"male","african-amer","middle","public","academic",0.239999994635582,-0.349999994039536,1,"operative",30.5,35.9000015258789,36.9000015258789,33.5999984741211,40.5999984741211
490,"male","white","middle","public","vocation",-1.27999997138977,0.340000003576279,0.330000013113022,"prof1",31,35.9000015258789,46.0999984741211,39,45.5999984741211
44,"female","hispanic","low","public","vocation",0.219999998807907,-0.759999990463257,1,"service",31,41.0999984741211,49.2000007629395,33.5999984741211,35.5999984741211
26,"female","hispanic","middle","public","academic",1.12000000476837,-0.740000009536743,0.670000016689301,"service",31,41.0999984741211,36,36.9000015258789,45.5999984741211
510,"male","white","middle","public","vocation",-0.860000014305115,1.19000005722046,0.330000013113022,"operative",33.5999984741211,28.1000003814697,31.7999992370605,39.5999984741211,35.5999984741211
133,"female","african-amer","low","public","vocation",-0.230000004172325,0.439999997615814,0.330000013113022,"school",33.5999984741211,35.2000007629395,40.9000015258789,29.2999992370605,25.7000007629395
213,"female","white","low","public","general",0.0399999991059303,-0.469999998807907,0.670000016689301,"clerical",33.5999984741211,59.2999992370605,44.7000007629395,47.0999984741211,45.5999984741211
548,"female","white","middle","private","academic",0.469999998807907,0.340000003576279,0.670000016689301,"prof2",33.5999984741211,43,41,49.7999992370605,35.5999984741211
309,"female","white","high","public","general",0.319999992847443,0.899999976158142,0.670000016689301,"prof2",33.5999984741211,51.5,41.9000015258789,49.7999992370605,50.5999984741211
180,"female","white","middle","public","vocation",-0.589999973773956,0.0299999993294477,0.330000013113022,"school",33.5999984741211,54.0999984741211,41,41.7000007629395,50.5999984741211
322,"male","white","middle","public","general",-0.839999973773956,-0.569999992847443,0.330000013113022,"craftsman",33.5999984741211,33.2999992370605,41,36.2999992370605,35.5999984741211
1,"female","hispanic","low","public","vocation",0.28999999165535,0.879999995231628,0.670000016689301,"prof2",33.5999984741211,43.7000007629395,40.2000007629395,39,40.5999984741211
323,"male","white","middle","public","vocation",0.660000026226044,0.340000003576279,0.330000013113022,"craftsman",33.5999984741211,38.5,42.9000015258789,47.0999984741211,45.5999984741211
239,"female","white","low","public","vocation",-0.839999973773956,-0.180000007152557,0,"clerical",33.5999984741211,46.2999992370605,38.4000015258789,36.2999992370605,45.5999984741211
306,"female","white","high","public","academic",-0.600000023841858,0.280000001192093,1,"prof1",33.5999984741211,41.0999984741211,42.9000015258789,41.7000007629395,50.5999984741211
