"socsup","depression","gender","girls"
14,6.73001021067895,"Female",1
22,5.54888232217072,"Female",1
14.5,5.46057023812772,"Female",1
28,5.46057023812772,"Male",0
23,5.36994264056051,"Female",1
17,5.18112511331317,"Female",1
15,5.0825850123237,"Female",1
15,4.98102374795547,"Female",1
18,4.98102374795547,"Female",1
21,4.98102374795547,"Female",1
21,4.98102374795547,"Female",1
23,4.98102374795547,"Female",1
13,4.87621105094099,"Female",1
22,4.87621105094099,"Female",1
27,4.87621105094099,"Female",1
13,4.76788763492313,"Female",1
16,4.76788763492313,"Female",1
22,4.76788763492313,"Female",1
25,4.76788763492313,"Female",1
26,4.76788763492313,"Female",1
23,4.65575995407325,"Male",0
28,4.65575995407325,"Female",1
18,4.53949369770136,"Female",1
20,4.53949369770136,"Female",1
26,4.53949369770136,"Female",1
12,4.41870563323407,"Female",1
17,4.41870563323407,"Female",1
21,4.41870563323407,"Female",1
24,4.41870563323407,"Female",1
27,4.41870563323407,"Female",1
13,4.2929532604391,"Male",0
14,4.2929532604391,"Female",1
22,4.2929532604391,"Female",1
25,4.2929532604391,"Female",1
27,4.2929532604391,"Female",1
16,4.1617215221436,"Male",0
18,4.1617215221436,"Male",0
22,4.1617215221436,"Female",1
23,4.1617215221436,"Male",0
24,4.1617215221436,"Female",1
30,4.1617215221436,"Female",1
14,4.02440549122741,"Female",1
17,4.02440549122741,"Male",0
19,4.02440549122741,"Female",1
19,4.02440549122741,"Male",0
25,4.02440549122741,"Female",1
27,4.02440549122741,"Female",1
28,4.02440549122741,"Female",1
13,3.88028745585483,"Female",1
18,3.88028745585483,"Female",1
20,3.88028745585483,"Female",1
22,3.88028745585483,"Male",0
25,3.88028745585483,"Female",1
29,3.88028745585483,"Female",1
33,3.88028745585483,"Female",1
18,3.72850604400396,"Female",1
21,3.72850604400396,"Female",1
22,3.72850604400396,"Female",1
25,3.72850604400396,"Female",1
13,3.56801376796476,"Male",0
16,3.56801376796476,"Female",1
18,3.56801376796476,"Female",1
18,3.56801376796476,"Female",1
23,3.56801376796476,"Female",1
25,3.56801376796476,"Female",1
16,3.39751726808602,"Male",0
19,3.39751726808602,"Female",1
21,3.39751726808602,"Female",1
21,3.39751726808602,"Female",1
24,3.39751726808602,"Female",1
25,3.39751726808602,"Female",1
26,3.39751726808602,"Female",1
26,3.39751726808602,"Female",1
27,3.39751726808602,"Female",1
13,3.21539089827391,"Male",0
15,3.21539089827391,"Female",1
18,3.21539089827391,"Female",1
19,3.21539089827391,"Male",0
19,3.21539089827391,"Female",1
