"Person","conflict","stress","relstressA","genstressA","ambivalence"
1,1.6,"Medium",0,0.625,0
2,3.8,"Medium",0.4,0.875,1
3,1.6,"High",0,0.875,0
5,2.6,"Medium",0.5,0.625,1
10,2.6,"Medium",0.1,0.375,1
11,0.8,"High",0.9,1.25,0
12,2.2,"Medium",0.2,0.75,1
14,1.6,"High",0,1.25,0
16,2,"Low",0.1,1,0
17,1.6,"Medium",0,0.5,0
18,2.8,"Medium",0.8,1,1
19,2.2,"Medium",0,0.875,1
21,2.4,"Medium",0.7777778,0.75,1
22,1.4,"Medium",0.3,0.375,0
23,1.4,"High",0.1,0.75,0
24,4.4,"Medium",2.1,0.875,1
29,0.8,"Medium",0,0.5,0
31,0.6,"Medium",0,1,0
32,2.4,"Medium",0.2222222,0.375,1
33,0.2,"Medium",0,0.125,0
34,3.8,"High",1.4,2.125,1
35,2.4,"Medium",0.8888889,2.25,1
39,1,"High",0.7,1,0
40,1.6,"Medium",0.4,0.625,0
42,1.4,"Low",0,0.25,0
44,1.6,"Medium",0.1,0.5,0
45,3,"High",0.5,0.75,1
46,1.6,"High",0.4,1.125,0
47,1,"Medium",0.3,1.5,0
53,1.8,"High",0.3,0.375,0
55,1.8,"Medium",0.9,1.5,0
56,1.2,"Medium",0.4,0.7142857,0
57,1,"Medium",0.4,0.625,0
58,2.6,"High",0.5,1.5,1
60,3.8,"High",0.1,0.25,1
63,2.4,"Low",0.2,0.2857143,1
64,1,"Medium",0.3,0.5,0
65,2.4,"High",0.7,1.125,1
67,0.8,"Medium",0.2,1.875,1
68,1.2,"High",0,0.25,0
69,2.8,"High",0.3,0.875,1
70,0.6,"Medium",0,0.5,0
75,1,"Medium",0.3,0.375,0
76,4.5,"High",0.8,0.75,1
77,2.4,"High",2.1,0.375,1
78,2.4,"High",0.6,1.375,1
79,1,"High",0.4,1.375,0
80,0.4,"Medium",0.3,0.75,0
81,2,"Medium",0.1,0.875,0
84,2.2,"High",0.875,1.75,1
86,1.4,"Medium",1.1,0.875,1
87,2,"Medium",0.3,0.75,0
89,2.8,"High",0.8888889,1.375,1
90,2.2,"Low",0.9,0.5,1
91,3.2,"High",0.7,1.375,1
96,2,"Medium",0.1,1.375,0
97,2.8,"High",1.1,0.25,1
98,2,"Medium",0.3,0.625,0
99,2.4,"High",1,1.125,1
100,1.4,"Low",0.1,0.625,0
101,1.8,"Low",0,0.375,0
103,4.4,"Medium",0.5,1.25,1
105,1.8,"Medium",0.4,0.5,0
108,2.2,"Medium",0.3,0.125,1
110,2.2,"High",0.1,0.625,1
501,1.8,"Medium",0.8,0,0
503,1.4,"Medium",0.2,0.5,0
505,1.6,"Medium",0.2,0.625,0
508,1.2,"Medium",0.5,1,0
510,3,"Medium",0.8,0.125,1
511,1.4,"High",0.1,0.75,0
512,1.4,"High",0.9,1.625,1
514,0.6,"High",0.3,0.375,0
516,3.8,"Medium",1.4,1.125,1
517,0.8,"Low",0.1,0.75,0
519,0.6,"Low",0,0.75,0
521,2.6,"Medium",1.333333,1,1
522,2.4,"Medium",0.7,1,1
523,2.4,"Medium",0,1.125,1
524,4.2,"High",1.7,1.125,1
529,2.2,"High",0.6,1.375,1
532,2.6,"Medium",1.3,0.5,1
533,1.4,"Low",0,0.125,0
534,2.6,"High",0.7,2.125,1
535,3.6,"High",1.2,0.875,1
539,2.2,"High",0.8,1.25,1
540,2.4,"Medium",0.9,1,1
542,0.6,"Medium",0,0.2857143,0
544,1.4,"Medium",0.2,0.5,0
545,2.6,"High",1.555556,1.875,1
546,3.4,"High",2.166667,2,1
547,1.8,"Medium",1.2,1.5,1
549,4,"High",2.2,2.125,1
551,0.2,"Low",0,0.5,0
553,1.2,"Medium",0.4,0.75,0
556,1.4,"Low",0,1,0
557,1,"Medium",0,0.5,0
560,1.8,"High",0.4,0.25,0
563,1.4,"High",0,0.875,0
564,1.2,"Medium",0.4,0.25,0
565,0.8,"Medium",0,0.5,0
566,2.4,"High",1.3,0.875,1
567,1.6,"Medium",0.5,2,1
568,0.8,"Medium",0.3,0.75,0
569,3,"High",0.4,0.5,1
575,1.4,"Medium",0.6,1.125,0
576,2.6,"High",1.2,1,1
578,1.2,"Medium",0.4,0.7142857,0
579,3,"Medium",0,0,1
580,1.6,"Medium",0.3,1,0
581,1.6,"High",0.2,0.875,0
582,3.2,"High",1.5,1.375,1
584,1,"Medium",0.4,1.125,0
587,1.6,"Medium",0.2,0.25,0
588,1.4,"Medium",0.2,1,0
589,2,"High",0.9,1.625,1
590,1.4,"Medium",0.2,0.4285714,0
591,3,"Medium",1,0.75,1
596,1.6,"Medium",0.1,0.75,0
597,2.4,"High",0.7,0.25,1
598,1.6,"Medium",0.2,0.25,0
599,1.6,"High",0.3333333,0.25,0
600,0,"Low",0,0.125,0
601,1.4,"Low",0,0.25,0
603,3.4,"Medium",0.8,1.375,1
605,1.2,"Medium",0.1,0,0
606,1.6,"Medium",0,0.25,0
608,2.6,"Low",0,0.125,1
610,2,"Medium",0.1,0.125,0
